Sample in Buffer,Sample in Window,TRIGGER,design_1_i/AD7960_0_data_rd_rdy_o,design_1_i/AD7960_0_data_o[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,0,26808
1,1,0,0,26808
2,2,0,0,26808
3,3,0,0,26808
4,4,0,0,26808
5,5,0,0,26808
6,6,0,0,26808
7,7,0,0,26808
8,8,0,0,26808
9,9,0,0,26808
10,10,0,0,26808
11,11,0,0,26808
12,12,0,0,26808
13,13,0,1,26808
14,14,0,1,26808
15,15,0,1,26808
16,16,0,1,26808
17,17,0,0,26808
18,18,0,0,26808
19,19,0,0,26808
20,20,0,0,26808
21,21,0,0,3ffff
22,22,0,0,3ffff
23,23,0,0,3ffff
24,24,0,0,3ffff
25,25,0,0,3ffff
26,26,0,0,3ffff
27,27,0,0,3ffff
28,28,0,0,3ffff
29,29,0,0,3ffff
30,30,0,0,3ffff
31,31,0,0,3ffff
32,32,0,0,3ffff
33,33,0,0,3ffff
34,34,0,0,3ffff
35,35,0,0,3ffff
36,36,0,0,3ffff
37,37,0,0,3ffff
38,38,0,0,3ffff
39,39,0,0,3ffff
40,40,0,0,3ffff
41,41,0,0,3fffe
42,42,0,0,3fffe
43,43,0,0,3fffd
44,44,0,0,3fffa
45,45,0,0,3fff4
46,46,0,0,3fff9
47,47,0,0,3ffe9
48,48,0,0,3ffd3
49,49,0,0,3ffa7
50,50,0,0,3ff4e
51,51,0,0,3fe8c
52,52,0,0,3fe9c
53,53,0,0,3fd38
54,54,0,0,3fa71
55,55,0,0,3f4e2
56,56,0,0,3ede5
57,57,0,0,3e9c5
58,58,0,0,3d38b
59,59,0,0,3a716
60,60,0,0,34e2d
61,61,0,0,25e6a
62,62,0,0,29c5a
63,63,0,0,29c5a
64,64,0,0,29c5a
65,65,0,0,29c5a
66,66,0,0,29c5a
67,67,0,0,29c5a
68,68,0,0,29c5a
69,69,0,0,29c5a
70,70,0,0,29c5a
71,71,0,0,29c5a
72,72,0,0,29c5a
73,73,0,0,29c5a
74,74,0,0,29c5a
75,75,0,0,29c5a
76,76,0,0,29c5a
77,77,0,0,29c5a
78,78,0,0,29c5a
79,79,0,0,29c5a
80,80,0,0,29c5a
81,81,0,0,29c5a
82,82,0,0,29c5a
83,83,0,0,29c5a
84,84,0,0,29c5a
85,85,0,0,29c5a
86,86,0,0,29c5a
87,87,0,0,29c5a
88,88,0,1,29c5a
89,89,0,1,29c5a
90,90,0,1,29c5a
91,91,0,1,29c5a
92,92,0,0,29c5a
93,93,0,0,29c5a
94,94,0,0,29c5a
95,95,0,0,29c5a
96,96,0,0,3ffff
97,97,0,0,3ffff
98,98,0,0,3ffff
99,99,0,0,3ffff
100,100,0,0,3ffff
101,101,0,0,3ffff
102,102,0,0,3ffff
103,103,0,0,3ffff
104,104,0,0,3ffff
105,105,0,0,3ffff
106,106,0,0,3ffff
107,107,0,0,3ffff
108,108,0,0,3ffff
109,109,0,0,3ffff
110,110,0,0,3ffff
111,111,0,0,3ffff
112,112,0,0,3ffff
113,113,0,0,3ffff
114,114,0,0,3ffff
115,115,0,0,3ffff
116,116,0,0,3ffff
117,117,0,0,3ffff
118,118,0,0,3fffe
119,119,0,0,3fffc
120,120,0,0,3fff8
121,121,0,0,3fff8
122,122,0,0,3fff0
123,123,0,0,3ffe0
124,124,0,0,3ffc1
125,125,0,0,3ff83
126,126,0,0,3ff07
127,127,0,0,3ff07
